"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EMC9",174.171024181984,0.122292301219925,0.170690341997786,0.716457063642832,0.473709170475597,0.768535557508902
"WDFY3",4014.62123410208,0.0318371087413881,0.0444409546827837,0.716391197458269,0.473749828737374,0.768535557508902
"MORC4",1857.75445984489,-0.0415175155207935,0.0580199088896609,-0.715573607668865,0.474254675005947,0.769270428890701
"FAM184A",31.966094870815,-0.290875774280352,0.406710017408294,-0.715192057805508,0.474490375967929,0.769490873955857
"PHF20L1",1161.61188498933,0.053336681377964,0.0745812419470387,0.715148742304924,0.474517138018188,0.769490873955857
"RPL10A",6255.2502529052,-0.0328771985424354,0.0459755527159773,-0.715101757352228,0.474546168140196,0.769490873955857
"AL158206.1",36.7109176656547,-0.29617610032613,0.414426014813095,-0.714665802193196,0.474815573895186,0.769610521268803
"DCLRE1C",340.913138981038,-0.0871342013582757,0.121950227658969,-0.714506262357657,0.474914185178639,0.769610521268803
"HEBP2",1167.34709203397,0.0576303861923366,0.0806529925112326,0.714547401130967,0.474888756301665,0.769610521268803
"HOXD8",498.938732084083,0.0922212743656848,0.129024096983744,0.714760083748573,0.474757303921644,0.769610521268803
"MEF2D",1445.8433815855,-0.04902507623546,0.0686165614508049,-0.714478767208539,0.474931181016186,0.769610521268803
"SLC12A1",47.6416719841072,-0.249617858378565,0.349329769315411,-0.71456222831437,0.474879591442008,0.769610521268803
"AL117339.4",49.7603149911179,-0.225861649424594,0.316397211943876,-0.713854739859902,0.475317006733839,0.770067528817424
"HSD17B7P2",44.4827279685752,-0.238894847593341,0.334621781186118,-0.713924977467224,0.475273571403783,0.770067528817424
"INTS6-AS1",33.0928863556473,-0.276072877148159,0.386812907937327,-0.713711645819454,0.475405503628549,0.770090206127591
"MLXIP",9040.83429234979,0.0278130919151364,0.0389722358686257,0.713664261113825,0.475434810819487,0.770090206127591
"AL596244.1",29.9404661998087,0.336730314863631,0.472016076490341,0.713387385801301,0.475606076556001,0.770283523399343
"MRPL44",673.22742677702,0.0650279472292317,0.0911660039000273,0.713291626783832,0.475665317730919,0.770295385196862
"MED12",1320.99310285259,0.0480471881372533,0.0674102165615642,0.712758252206072,0.475995363160119,0.770577545358067
"PCLO",324.526616241803,0.1153310184926,0.161795403780061,0.712820116011309,0.47595707618681,0.770577545358067
"TFCP2",570.321817242643,-0.0695394666192413,0.0975526119547236,-0.712840642867831,0.475944372666111,0.770577545358067
"ATPAF1",1019.01734804272,-0.0546020734765759,0.0766359034952298,-0.712486849978543,0.476163351597278,0.770626517199835
"CWC22",436.99864455807,0.0813136540224794,0.114131211769348,0.712457642058593,0.476181432209213,0.770626517199835
"HMGN1",2918.15810937322,-0.0377858724159018,0.0530244569792465,-0.712612152363786,0.476085789788648,0.770626517199835
"CWC25",568.316893768595,0.0735500494758353,0.103317950742818,0.711880645590022,0.476538688112875,0.77067660509493
"ECHDC3",572.213809281228,0.0716221682449088,0.100605811112242,0.711908859469385,0.4765212156584,0.77067660509493
